scenario_family,seed,od_id,decision_step,condition_id,failure_type,difference,stress_case,policy
moving_center,9209,OD05,4.0,C05_rain_stale,multisource_worse_than_rain_only,0.01949997530616543,,
moving_center,9209,OD06,4.0,C00_clean,multisource_worse_than_rain_only,0.02289363341891021,,
moving_center,9209,OD06,4.0,C01_typical,multisource_worse_than_rain_only,0.02289363341891021,,
moving_center,9209,OD06,4.0,C07_disagreement,multisource_worse_than_rain_only,0.02289363341891021,,
moving_center,9209,OD06,8.0,C05_rain_stale,multisource_worse_than_rain_only,0.011372403525976238,,
moving_center,9209,OD07,4.0,C00_clean,multisource_worse_than_rain_only,0.023421671521938248,,
moving_center,9209,OD07,4.0,C01_typical,multisource_worse_than_rain_only,0.023421671521938248,,
moving_center,9209,OD07,4.0,C07_disagreement,multisource_worse_than_rain_only,0.023421671521938248,,
moving_center,9209,OD08,4.0,C00_clean,multisource_worse_than_rain_only,0.046679642916833075,,
moving_center,9209,OD08,4.0,C01_typical,multisource_worse_than_rain_only,0.046679642916833075,,
moving_center,9209,OD08,4.0,C02_degraded,multisource_worse_than_rain_only,0.047693890504324876,,
moving_center,9209,OD08,4.0,C07_disagreement,multisource_worse_than_rain_only,0.046679642916833075,,
moving_center,9210,OD05,4.0,C05_rain_stale,multisource_worse_than_rain_only,0.017900931500759942,,
moving_center,9210,OD05,8.0,C07_disagreement,multisource_worse_than_rain_only,0.015342079580136003,,
moving_center,9210,OD05,8.0,C07_disagreement,trusted_worse_than_naive,0.015342079580136003,,
moving_center,9210,OD06,4.0,C00_clean,multisource_worse_than_rain_only,0.02261209054213459,,
moving_center,9210,OD06,4.0,C01_typical,multisource_worse_than_rain_only,0.02261209054213459,,
moving_center,9210,OD07,4.0,C00_clean,multisource_worse_than_rain_only,0.024987789897341017,,
moving_center,9210,OD07,4.0,C01_typical,multisource_worse_than_rain_only,0.024987789897341017,,
moving_center,9210,OD08,4.0,C00_clean,multisource_worse_than_rain_only,0.04845462243756021,,
moving_center,9210,OD08,4.0,C01_typical,multisource_worse_than_rain_only,0.04845462243756021,,
moving_center,9210,OD08,4.0,C02_degraded,multisource_worse_than_rain_only,0.049343093375321556,,
moving_center,9210,OD08,4.0,C07_disagreement,multisource_worse_than_rain_only,0.04845462243756021,,
moving_center,9211,OD05,4.0,C05_rain_stale,multisource_worse_than_rain_only,0.017570590142016285,,
moving_center,9211,OD06,4.0,C00_clean,multisource_worse_than_rain_only,0.021971998853041907,,
moving_center,9211,OD06,4.0,C01_typical,multisource_worse_than_rain_only,0.021971998853041907,,
moving_center,9211,OD06,8.0,C05_rain_stale,multisource_worse_than_rain_only,0.011343718357687549,,
moving_center,9211,OD07,4.0,C00_clean,multisource_worse_than_rain_only,0.02217663312529594,,
moving_center,9211,OD07,4.0,C01_typical,multisource_worse_than_rain_only,0.02217663312529594,,
moving_center,9211,OD07,4.0,C02_degraded,multisource_worse_than_rain_only,0.022531188269519165,,
moving_center,9211,OD07,4.0,C07_disagreement,multisource_worse_than_rain_only,0.022531188269519165,,
moving_center,9212,OD05,8.0,C07_disagreement,multisource_worse_than_rain_only,0.015311308901584109,,
moving_center,9212,OD06,4.0,C00_clean,multisource_worse_than_rain_only,0.022694737597751646,,
moving_center,9212,OD06,4.0,C01_typical,multisource_worse_than_rain_only,0.022694737597751646,,
moving_center,9212,OD06,4.0,C07_disagreement,multisource_worse_than_rain_only,0.022694737597751646,,
moving_center,9212,OD06,8.0,C05_rain_stale,multisource_worse_than_rain_only,0.010174837547365478,,
moving_center,9212,OD07,4.0,C00_clean,multisource_worse_than_rain_only,0.023072370318333257,,
moving_center,9212,OD07,4.0,C01_typical,multisource_worse_than_rain_only,0.023072370318333257,,
moving_center,9212,OD07,4.0,C07_disagreement,multisource_worse_than_rain_only,0.023072370318333257,,
moving_center,9212,OD08,4.0,C00_clean,multisource_worse_than_rain_only,0.046257040425199125,,
moving_center,9212,OD08,4.0,C01_typical,multisource_worse_than_rain_only,0.046257040425199125,,
moving_center,9212,OD08,4.0,C02_degraded,multisource_worse_than_rain_only,0.04694763134375851,,
moving_center,9212,OD08,4.0,C07_disagreement,multisource_worse_than_rain_only,0.046257040425199125,,
moving_center,9208,OD03,8.0,C07_disagreement,bad_source_overweighted,0.031729682280677116,,
moving_center,9201,OD01,,,unnecessary_replan,0.0,rain_down_water_high,always
moving_center,9201,OD01,,,missed_useful_replan,0.016124487832222367,rain_down_water_high,triggered
moving_center,9201,OD02,,,unnecessary_replan,0.0,rain_down_water_high,always
moving_center,9201,OD01,,,unnecessary_replan,0.0,water_gradually_stale,always
moving_center,9201,OD01,,,missed_useful_replan,0.016124487832222367,water_gradually_stale,triggered
moving_center,9201,OD02,,,unnecessary_replan,0.0,water_gradually_stale,always
moving_center,9201,OD01,,,unnecessary_replan,0.0,water_block_outage,always
moving_center,9201,OD01,,,missed_useful_replan,0.016124487832222367,water_block_outage,triggered
moving_center,9201,OD02,,,unnecessary_replan,0.0,water_block_outage,always
moving_center,9201,OD01,,,unnecessary_replan,0.0,water_recovery,always
moving_center,9201,OD01,,,missed_useful_replan,0.036930853429816,water_recovery,triggered
moving_center,9201,OD02,,,unnecessary_replan,0.0,water_recovery,always
moving_center,9201,OD01,,,unnecessary_replan,0.0,rain_stale_water_fresh,always
moving_center,9201,OD01,,,missed_useful_replan,0.013310675494088098,rain_stale_water_fresh,triggered
moving_center,9201,OD02,,,unnecessary_replan,0.0,rain_stale_water_fresh,always
moving_center,9201,OD01,,,unnecessary_replan,0.0,water_stale_rain_fresh,always
moving_center,9201,OD01,,,missed_useful_replan,0.016124487832222367,water_stale_rain_fresh,triggered
moving_center,9201,OD02,,,unnecessary_replan,0.0,water_stale_rain_fresh,always
moving_center,9201,OD01,,,unnecessary_replan,0.0,sources_disagreement,always
moving_center,9201,OD01,,,missed_useful_replan,0.036930853429816,sources_disagreement,triggered
moving_center,9201,OD02,,,unnecessary_replan,0.0,sources_disagreement,always
dual_center,9201,OD01,,,unnecessary_replan,0.0,rain_down_water_high,always
dual_center,9201,OD02,,,unnecessary_replan,0.0,rain_down_water_high,always
dual_center,9201,OD01,,,unnecessary_replan,0.0,water_gradually_stale,always
dual_center,9201,OD02,,,unnecessary_replan,0.0,water_gradually_stale,always
dual_center,9201,OD01,,,unnecessary_replan,0.0,water_block_outage,always
dual_center,9201,OD02,,,unnecessary_replan,0.0,water_block_outage,always
dual_center,9201,OD01,,,unnecessary_replan,0.0,water_recovery,always
dual_center,9201,OD02,,,unnecessary_replan,0.0,water_recovery,always
dual_center,9201,OD01,,,unnecessary_replan,0.0,rain_stale_water_fresh,always
dual_center,9201,OD01,,,missed_useful_replan,0.020595046413242057,rain_stale_water_fresh,triggered
dual_center,9201,OD02,,,unnecessary_replan,0.0,rain_stale_water_fresh,always
dual_center,9201,OD01,,,unnecessary_replan,0.0,water_stale_rain_fresh,always
dual_center,9201,OD02,,,unnecessary_replan,0.0,water_stale_rain_fresh,always
dual_center,9201,OD01,,,unnecessary_replan,0.0,sources_disagreement,always
dual_center,9201,OD02,,,unnecessary_replan,0.0,sources_disagreement,always
anisotropic_band,9201,OD01,,,unnecessary_replan,0.0,rain_down_water_high,always
anisotropic_band,9201,OD02,,,unnecessary_replan,0.0,rain_down_water_high,always
anisotropic_band,9201,OD01,,,unnecessary_replan,0.0,water_gradually_stale,always
anisotropic_band,9201,OD02,,,unnecessary_replan,0.0,water_gradually_stale,always
anisotropic_band,9201,OD01,,,unnecessary_replan,0.0,water_block_outage,always
anisotropic_band,9201,OD02,,,unnecessary_replan,0.0,water_block_outage,always
anisotropic_band,9201,OD01,,,unnecessary_replan,0.0,water_recovery,always
anisotropic_band,9201,OD01,,,route_oscillation,0.0,water_recovery,always
anisotropic_band,9201,OD02,,,unnecessary_replan,0.0,water_recovery,always
anisotropic_band,9201,OD01,,,unnecessary_replan,0.0,rain_stale_water_fresh,always
anisotropic_band,9201,OD02,,,unnecessary_replan,0.0,rain_stale_water_fresh,always
anisotropic_band,9201,OD01,,,unnecessary_replan,0.0,water_stale_rain_fresh,always
anisotropic_band,9201,OD02,,,unnecessary_replan,0.0,water_stale_rain_fresh,always
anisotropic_band,9201,OD01,,,unnecessary_replan,0.0,sources_disagreement,always
anisotropic_band,9201,OD02,,,unnecessary_replan,0.0,sources_disagreement,always
anisotropic_band,9201,OD02,,,route_oscillation,0.0,sources_disagreement,always
moving_center,9206,OD01,,,unnecessary_replan,0.0,rain_down_water_high,always
moving_center,9206,OD01,,,missed_useful_replan,0.03801088715198486,rain_down_water_high,triggered
moving_center,9206,OD02,,,unnecessary_replan,0.0,rain_down_water_high,always
moving_center,9206,OD01,,,unnecessary_replan,0.0,water_gradually_stale,always
moving_center,9206,OD01,,,missed_useful_replan,0.014030054030267192,water_gradually_stale,triggered
moving_center,9206,OD02,,,unnecessary_replan,0.0,water_gradually_stale,always
moving_center,9206,OD01,,,unnecessary_replan,0.0,water_block_outage,always
moving_center,9206,OD01,,,missed_useful_replan,0.03801088715198486,water_block_outage,triggered
moving_center,9206,OD02,,,unnecessary_replan,0.0,water_block_outage,always
moving_center,9206,OD01,,,unnecessary_replan,0.0,water_recovery,always
moving_center,9206,OD01,,,missed_useful_replan,0.03659157999457202,water_recovery,triggered
moving_center,9206,OD02,,,unnecessary_replan,0.0,water_recovery,always
moving_center,9206,OD01,,,unnecessary_replan,0.0,rain_stale_water_fresh,always
moving_center,9206,OD02,,,unnecessary_replan,0.0,rain_stale_water_fresh,always
moving_center,9206,OD02,,,route_oscillation,0.0,rain_stale_water_fresh,always
moving_center,9206,OD01,,,unnecessary_replan,0.0,water_stale_rain_fresh,always
moving_center,9206,OD01,,,missed_useful_replan,0.015449361187680033,water_stale_rain_fresh,triggered
