scenario_family,seed,stress_case,od_id,policy,mean_truth_exposure,planner_calls,route_change_count,missed_useful_replan,unnecessary_replan,route_oscillation
moving_center,9206,rain_down_water_high,OD02,triggered,0.36363893933717323,1,0,False,False,False
moving_center,9206,water_gradually_stale,OD01,never,0.38000569667344414,1,0,False,False,False
moving_center,9206,water_gradually_stale,OD01,always,0.36126763240806326,12,4,False,True,False
moving_center,9206,water_gradually_stale,OD01,triggered,0.37529768643833045,3,2,True,False,False
moving_center,9206,water_gradually_stale,OD02,never,0.36363893933717323,1,0,False,False,False
moving_center,9206,water_gradually_stale,OD02,always,0.3583114100251004,12,3,False,True,False
moving_center,9206,water_gradually_stale,OD02,triggered,0.36363893933717323,1,0,False,False,False
moving_center,9206,water_block_outage,OD01,never,0.38000569667344414,1,0,False,False,False
moving_center,9206,water_block_outage,OD01,always,0.3598483252506504,12,4,False,True,False
moving_center,9206,water_block_outage,OD01,triggered,0.3978592124026353,2,1,True,False,False
moving_center,9206,water_block_outage,OD02,never,0.36363893933717323,1,0,False,False,False
moving_center,9206,water_block_outage,OD02,always,0.3583114100251004,12,3,False,True,False
moving_center,9206,water_block_outage,OD02,triggered,0.36363893933717323,1,0,False,False,False
moving_center,9206,water_recovery,OD01,never,0.38000569667344414,1,0,False,False,False
moving_center,9206,water_recovery,OD01,always,0.36126763240806326,12,4,False,True,False
moving_center,9206,water_recovery,OD01,triggered,0.3978592124026353,2,1,True,False,False
moving_center,9206,water_recovery,OD02,never,0.36363893933717323,1,0,False,False,False
moving_center,9206,water_recovery,OD02,always,0.35886866377215915,12,2,False,True,False
moving_center,9206,water_recovery,OD02,triggered,0.36363893933717323,1,0,False,False,False
moving_center,9206,rain_stale_water_fresh,OD01,never,0.40560272935539476,1,0,False,False,False
moving_center,9206,rain_stale_water_fresh,OD01,always,0.3925579667599783,12,6,False,True,False
moving_center,9206,rain_stale_water_fresh,OD01,triggered,0.39478803529792045,2,1,False,False,False
moving_center,9206,rain_stale_water_fresh,OD02,never,0.3485701531248775,1,0,False,False,False
moving_center,9206,rain_stale_water_fresh,OD02,always,0.3596993834249296,12,4,False,True,True
moving_center,9206,rain_stale_water_fresh,OD02,triggered,0.3485701531248775,1,0,False,False,False
moving_center,9206,water_stale_rain_fresh,OD01,never,0.38000569667344414,1,0,False,False,False
moving_center,9206,water_stale_rain_fresh,OD01,always,0.3598483252506504,12,4,False,True,False
moving_center,9206,water_stale_rain_fresh,OD01,triggered,0.37529768643833045,3,2,True,False,False
moving_center,9206,water_stale_rain_fresh,OD02,never,0.36363893933717323,1,0,False,False,False
moving_center,9206,water_stale_rain_fresh,OD02,always,0.3583114100251004,12,3,False,True,False
moving_center,9206,water_stale_rain_fresh,OD02,triggered,0.36363893933717323,1,0,False,False,False
moving_center,9206,sources_disagreement,OD01,never,0.38000569667344414,1,0,False,False,False
moving_center,9206,sources_disagreement,OD01,always,0.3598483252506504,12,4,False,True,False
moving_center,9206,sources_disagreement,OD01,triggered,0.3978592124026353,2,1,True,False,False
