scenario_family,seed,method,truth_exposure,distance_m,max_truth_risk,p95_truth_risk,high_risk_length_ratio,rain_effective_weight_mean,water_effective_weight_mean,water_effective_weight_p90,fallback_fraction,low_reliability_water_usage,source_disagreement_fraction
dual_center,9203,S2_v1_redundant_naive,0.45318432196637937,11166.474017361386,0.595079289329027,0.5597543717181417,0.06216961486530127,,,0.0,,0.0,0.0
dual_center,9203,S3_v2_local_naive,0.45318432196637937,11166.474017361386,0.595079289329027,0.5597543717181417,0.06216961486530127,,,0.0,,0.0,0.0
dual_center,9203,S4_v2_reliability_universal,0.45185501935703365,11221.286008344463,0.5922490495713443,0.5570066059452775,0.06346998986145765,0.9209849301417291,0.2408611437517345,0.67223355676511,0.0,0.3088578740062212,0.7606119316765583
dual_center,9203,S5_v2_reliability_source_specific,0.45175324909796344,11226.558441106035,0.5919969331442229,0.5566814216614399,0.063470491342191,0.9209849301417223,0.17870619016571943,0.49990899558655966,0.0,0.3080067532222958,0.7623398338847848
dual_center,9204,S0_shortest,0.484973851087463,10950.795041533209,0.6226932334752332,0.5930272739946388,0.11055314317427531,,,0.0,,0.0,0.0
dual_center,9204,S1_rain_only,0.45277960765856,11244.870191103866,0.587761987955622,0.5542979092011013,0.061564861035045305,,,0.0,,0.0,0.0
dual_center,9204,S2_v1_redundant_naive,0.4541487735820033,11203.73763884654,0.5903470127822965,0.5571338093191732,0.06174950277816129,,,0.0,,0.0,0.0
dual_center,9204,S3_v2_local_naive,0.4541585199314174,11203.23882406438,0.5903470127822965,0.5571338093191732,0.06174950277816129,,,0.0,,0.0,0.0
dual_center,9204,S4_v2_reliability_universal,0.45416542577306346,11213.128718560709,0.5906668728538405,0.557748417002472,0.06528851290495193,0.9209849301417288,0.23912215446114385,0.6699697903235495,0.0,0.3107613296563276,0.7646693472516126
dual_center,9204,S5_v2_reliability_source_specific,0.4539115301028672,11219.446750849642,0.5901316553265185,0.5569062387677058,0.0645334782720294,0.9209849301417198,0.1739800923149797,0.4935502804871968,0.0,0.30606320720550084,0.7678984503207948
dual_center,9205,S0_shortest,0.4847088810591629,10950.795041533209,0.6233910698366388,0.5934283774688659,0.1148832319060692,,,0.0,,0.0,0.0
dual_center,9205,S1_rain_only,0.45195013021965197,11244.870191103866,0.589765409769985,0.5547688692106901,0.061381375093508835,,,0.0,,0.0,0.0
dual_center,9205,S2_v1_redundant_naive,0.4543841579205909,11168.066304864653,0.5941726905233439,0.5600712526890851,0.063032684115795,,,0.0,,0.0,0.0
dual_center,9205,S3_v2_local_naive,0.45439377370649414,11167.567490082492,0.5941726905233439,0.5600712526890851,0.063032684115795,,,0.0,,0.0,0.0
dual_center,9205,S4_v2_reliability_universal,0.4532602256089013,11214.447778404077,0.5930398837642644,0.5576474176415365,0.06508189801202782,0.9209849301417323,0.23695379322330978,0.6638396480266423,0.0,0.3062672257188073,0.7652080574076361
dual_center,9205,S5_v2_reliability_source_specific,0.4530815845223204,11219.750454125155,0.5921320727182068,0.5570946316853838,0.06508189801202782,0.920984930141723,0.17353380277034217,0.49203852149364424,0.0,0.3038311899961378,0.7670682701351992
dual_center,9206,S0_shortest,0.483360723915897,10950.795041533209,0.6217744545025694,0.5906289432235549,0.10824651981036412,,,0.0,,0.0,0.0
dual_center,9206,S1_rain_only,0.45083611144720476,11244.870191103866,0.5864420608650482,0.5520263719228692,0.060608085764588114,,,0.0,,0.0,0.0
dual_center,9206,S2_v1_redundant_naive,0.4532943241979049,11169.052788585026,0.5911823563991059,0.5571880254126277,0.06233644687645498,,,0.0,,0.0,0.0
dual_center,9206,S3_v2_local_naive,0.45330404959806875,11168.553973802866,0.5911823563991059,0.5571880254126277,0.06233644687645498,,,0.0,,0.0,0.0
dual_center,9206,S4_v2_reliability_universal,0.4524301614233359,11210.93982214051,0.5898450903019637,0.5554947189011316,0.06440939064563732,0.9209849301417304,0.24095474275939474,0.6686585417494144,0.0,0.3045490518395001,0.7702217380907969
dual_center,9206,S5_v2_reliability_source_specific,0.45215960330585137,11220.181851929901,0.589294837900281,0.5548973312641207,0.06365435601271481,0.9209849301417272,0.18162814180021827,0.5112686045415114,0.0,0.3037670596978694,0.7729634248040946
dual_center,9207,S0_shortest,0.48402626886902617,10950.795041533209,0.6231201132968921,0.5940631544895059,0.10772742110632437,,,0.0,,0.0,0.0
dual_center,9207,S1_rain_only,0.45152045434150834,11242.229964040313,0.5890402395630758,0.5549194868347455,0.06043090144257112,,,0.0,,0.0,0.0
dual_center,9207,S2_v1_redundant_naive,0.45367352466191135,11176.52676161571,0.5933278227590539,0.5596757915375834,0.06202764819456734,,,0.0,,0.0,0.0
dual_center,9207,S3_v2_local_naive,0.4536979745391713,11175.030317269227,0.5933278227590539,0.5596757915375834,0.06202764819456734,,,0.0,,0.0,0.0
dual_center,9207,S4_v2_reliability_universal,0.4526916048075099,11221.813326679907,0.5913107740563798,0.5576138686461068,0.06481206094002066,0.9209849301417311,0.2403259138455488,0.6703917787513595,0.0,0.3077423629830656,0.754424226904541
dual_center,9207,S5_v2_reliability_source_specific,0.4525023765849099,11228.049863030961,0.5908548297532995,0.557099302988495,0.0640680697761025,0.9209849301417248,0.17806414776033458,0.5033470197927774,0.0,0.3057041433862778,0.7558018903084118
