case_category,u,v,key,rain_truth,water_truth,planner_rain_component,planner_water_component,rain_only_risk,fusion_risk,edge_cost,selected_by_rain_route,selected_by_perfect_route,rain_risk_rank,fusion_risk_rank,risk_rank_change
better,9105636736,9105636890,0,0.7454656861588648,0.08998076,0.41000612738737563,0.017996153,0.7632704589874297,0.6510555089439576,403.88723015324445,True,False,31.0,30.0,-1.0
better,9105636890,6366993022,0,0.7105683587101466,0.10030331,0.39081259729058065,0.020060662,0.7328690244406246,0.6274414048964599,30.966101548190316,True,False,43.0,39.0,-4.0
better,9105636905,2408476446,0,0.7105683587101466,0.09487509,0.39081259729058065,0.018975018,0.7570536448931,0.6466905523816167,495.41746648772505,True,False,32.0,32.0,0.0
better,9608119122,2409714543,0,0.7344793010919004,0.076127395,0.4039636156005453,0.015225479,0.7513290893794253,0.6387954736551605,66.5704649927691,True,True,36.0,36.0,0.0
better,9657438678,5999844157,0,0.4413258897121085,0.073567465,0.2427292393416597,0.014713493,0.584899608296877,0.4996775844053476,176.93735673970926,True,True,81.0,78.0,-3.0
better,9657438680,9657438678,0,0.4413258897121085,0.0735258,0.2427292393416597,0.014705161,0.5901859610520919,0.5040759344269103,30.200018869463698,True,True,80.0,77.0,-3.0
better,9657438681,5999844150,0,0.3546180155536124,0.041504852,0.19503990855448683,0.00830097,0.5639780009956654,0.4768991429086772,689.356938457781,True,True,85.0,85.0,0.0
better,9657680433,9657438680,0,0.4413258897121085,0.07088317,0.2427292393416597,0.014176634,0.613187228682046,0.5228032188634117,435.7622374124304,True,True,71.0,72.0,1.0
better,10074427309,5999844140,0,0.3455101246933897,0.03816476,0.19003056858136436,0.007632952,0.49889169776088915,0.42210387495364515,337.48290211963285,True,True,97.0,97.0,0.0
better,10651734179,2299613353,0,0.8228827542424766,0.075391725,0.4525855148333622,0.015078345,0.7376734533595173,0.6272931652505471,1166.1952120733906,False,True,42.0,40.0,-2.0
better,11196049350,11196049387,0,0.0625453875487367,0.01158555,0.03439996315180519,0.00231711,0.30582212230795564,0.25678269365375195,37.810125690183916,True,True,117.0,117.0,0.0
better,11196049387,11834590996,0,0.0625453875487367,0.011813565,0.03439996315180519,0.002362713,0.29885817435931433,0.2510174061589876,331.58480715643134,True,True,118.0,118.0,0.0
better,11196049399,5155815614,0,0.06047285947562203,0.0119423475,0.03326007271159212,0.0023884696,0.28133259744237127,0.2364342224539176,537.0154160659825,True,True,122.0,122.0,0.0
better,11196049687,11196049813,0,0.0625453875487367,0.011682648,0.03439996315180519,0.0023365298,0.2931487111186014,0.24623770063412082,260.6352153158197,True,True,120.0,120.0,0.0
better,11196049688,11196049690,0,0.043994550668798045,0.011598734,0.024197002867838928,0.002319747,0.3925351038236208,0.32904570888386725,33.5107887477052,True,True,112.0,112.0,0.0
better,11196049690,11196049399,0,0.043994550668798045,0.011598734,0.024197002867838928,0.002319747,0.3925351038055354,0.32904570886879614,36.48605294760366,True,True,113.0,113.0,0.0
