u,v,length,shortest_cost,risk_cost,trusted_cost
499287730,499287733,12.772264303293632,12.772264303293632,63.41711827958225,76.63358581976179
499287730,8289756749,52.364868544426244,52.364868544426244,257.6887682136966,314.18921126655744
499287730,2042407660,12.911638652560159,12.911638652560159,64.8514081234264,77.46983191536096
499287730,6020564486,44.74299859875249,44.74299859875249,220.01765305887363,268.457991592515
499287733,2042407651,13.13914027895169,13.13914027895169,63.93923397350724,78.83484167371014
499287733,10006651412,26.326724277557283,26.326724277557283,128.24663907982946,157.9603456653437
499287733,9222802794,42.77072210173839,42.77072210173839,206.2455777706973,256.6243326104304
499374438,2491091193,58.021079008400385,58.021079008400385,246.65607252435254,348.1264740504023
499374438,499374692,316.6638744147262,316.6638744147262,1414.8519645013846,1899.983246488357
499374438,499374790,400.0496154278502,400.0496154278502,1336.7581431168953,2400.297692567101
499374459,10154495540,151.98548073885948,151.98548073885948,546.1930007531657,911.9128844331569
499374459,499374605,55.43473745458727,55.43473745458727,238.25988148197817,332.60842472752364
499374459,1116469197,249.68288559268314,249.68288559268314,1015.5321016150892,1498.097313556099
499374605,499374818,20.644537708961003,20.644537708961003,89.4609966649629,123.86722625376602
499374605,7232025520,155.59183065914263,155.59183065914263,716.3871109531847,933.5509839548558
499374672,1114538640,115.65703639699021,115.65703639699021,526.7813900223043,693.9422183819413
499374672,2491091193,234.56567589572677,234.56567589572677,992.3194723290275,1407.3940553743605
499374672,4397491540,115.01743417599913,115.01743417599913,498.8561392323727,690.1046050559947
499374692,10154495540,237.6045254631643,237.6045254631643,888.4119151370896,1425.6271527789859
499374692,499374765,63.547569253688415,63.547569253688415,284.98440192040596,381.2854155221305
499374765,7232025520,33.92440353383955,33.92440353383955,157.59625985521885,203.5464212030373
499374790,499374805,182.70523116566363,182.70523116566363,630.8667217555815,1096.2313869939817
499374790,8794485628,123.19904038055803,123.19904038055803,330.6026599943136,739.1942422833482
499374805,7735592377,64.50131422737361,64.50131422737361,305.2788909090643,387.0078853642417
499374805,499374818,90.61946012460805,90.61946012460805,405.0226054733112,543.7167607476483
499374818,4397491510,270.9242716689764,270.9242716689764,939.2345455364733,1625.5456300138585
499478446,2750252775,32.21058435469715,32.21058435469715,157.90959260910387,166.0583766672122
499478446,2750252825,31.225059835046693,31.225059835046693,143.9929303479884,151.89239181057442
499478446,6467166907,301.51596302032874,301.51596302032874,1408.5185661843266,1484.7974826320797
499478538,7973099538,164.51843919779603,164.51843919779603,631.8906508185815,673.5112938915896
499478538,6467166929,59.43347971385331,59.43347971385331,220.8407477629852,235.87650702388567
499478538,7965696350,296.07607260126434,296.07607260126434,1152.8084119615637,1227.711119526032
499478570,7973099511,56.94103866992318,56.94103866992318,139.07848695128737,153.4836968368366
499478570,7973099509,246.1773106952545,246.1773106952545,673.6069111019918,735.88599684509
499478603,499478701,237.06736395216035,237.06736395216035,1023.7503781327079,1083.7247870039773
499478603,6467166929,105.51872712946849,105.51872712946849,422.2465076255783,448.94112800240816
499478603,7965696350,181.0806604981442,181.0806604981442,756.8239410474742,802.6345722129976
499478696,499478798,236.78416983099353,236.78416983099353,970.7124082250101,1030.6151733249496
